"filename", "language", "PHP", "Markdown", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 168, 0, 0, 64, 232
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 19, 0, 0, 19, 38
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 80, 0, 1, 81
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 117, 0, 0, 48, 18, 183
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 4, 3, 27
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php", "PHP", 28, 0, 0, 5, 3, 36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 5, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php", "PHP", 28, 0, 0, 5, 3, 36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 6, 3, 28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 4, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 27, 0, 0, 7, 3, 37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 4, 3, 29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 27, 0, 0, 4, 3, 34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 4, 3, 27
