"filename", "language", "Markdown", "HTML", "JavaScript", "PHP", "JSON", "comment", "blank", "total"
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri.php", "PHP", 0, 0, 0, -8, 0, -10, -4, -22
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri\FromProcessedConfiguration.php", "PHP", 0, 0, 0, -63, 0, -20, -22, -105
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\GenerateUri\UriCouldNotBeGenerated.php", "PHP", 0, 0, 0, -43, 0, -4, -7, -54
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\Route.php", "PHP", 0, 0, 0, -39, 0, -19, -13, -71
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteCollector.php", "PHP", 0, 0, 0, -89, 0, -26, -25, -140
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteParser.php", "PHP", 0, 0, 0, -7, 0, -33, -3, -43
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\RouteParser\Std.php", "PHP", 0, 0, 0, -106, 0, -18, -29, -153
"d:\AppData\Apache\local\phpend\api\v1\vendor\nikic\fast-route\src\functions.php", "PHP", 0, 0, 0, -47, 0, -17, -15, -79
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\README.md", "Markdown", -168, 0, 0, 0, 0, 0, -64, -232
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", -19, 0, 0, 0, 0, 0, -19, -38
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 0, 0, -80, 0, -1, -81
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 0, 0, -117, 0, -48, -18, -183
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 0, 0, -20, 0, -4, -3, -27
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php", "PHP", 0, 0, 0, -28, 0, -5, -3, -36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php", "PHP", 0, 0, 0, -28, 0, -5, -3, -36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 0, 0, 0, -22, 0, -4, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 0, 0, 0, -22, 0, -4, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 0, 0, 0, -27, 0, -4, -3, -34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 0, 0, 0, -20, 0, -4, -3, -27
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 0, 0, 0, -13, 0, -12, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 0, 0, 0, -13, 0, -12, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 0, 0, 0, -27, 0, -6, -3, -36
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 0, 0, 0, -22, 0, -7, -3, -32
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 0, 0, 0, -20, 0, -6, -3, -29
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 0, 0, 0, -27, 0, -8, -3, -38
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 0, 0, 0, -19, 0, -6, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 0, 0, 0, -27, 0, -4, -3, -34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 0, 0, 0, -27, 0, -5, -3, -35
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 0, 0, 0, -27, 0, -4, -3, -34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 0, 0, 0, -20, 0, -5, -3, -28
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 0, 0, 0, -27, 0, -9, -3, -39
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 0, 0, 0, -27, 0, -4, -3, -34
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 0, 0, 0, -27, 0, -7, -3, -37
"d:\AppData\Apache\local\phpend\api\v1\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php", "PHP", 0, 0, 0, -27, 0, -5, -3, -35
